desenvolvedor,total_jogos,avaliacoes_positivas,avaliacoes_negativas,tempo_medio_jogado
Aidan Strong,1,106,30,0.0
Aidangig,1,38,29,0.0
Aigi Studios,1,1,0,0.0
Aigul Aubanova,1,72,25,0.0
Aikesi,1,2687,130,4.63
Air Balloon,1,37,43,0.0
AirWave Games,1,78,31,2.0
Airborne Games,1,275,79,0.35
Airem,6,711,304,0.6750000000000002
Airship Syndicate,3,26114,4277,15.270000000000001
Airtight Games,3,16383,2979,4.613333333333333
Aisukaze Studio,1,9,3,0.0
Aivaras Ivoškus,1,65,32,0.7
Aiya Games,1,35,4,0.0
Ajal Game Studio,1,6,3,0.0
Ajané J.K. Célestin,1,41,28,0.0
Ajay Arora,1,9,3,0.0
Akaba Studio,1,31465,2425,2.27
Akabaka,1,2698,47,3.53
Akamurasaki Games,2,69,2,0.0
Akella,4,1626,629,19.8075
"Akella, .dat",2,361,460,15.14
Akeshy (Akakiy Petrushkin),1,57,15,0.0
Akiragoya,1,57,15,2.17
Akky-06's Lab,1,2,4,0.0
"Aksys Games, TOYBOX lnc., Picola Inc.",1,64,47,0.0
Akumu Games,2,12,3,0.0
"Akumu Games, Iliad Works",1,12,2,0.0
Akçay Karaazmak,1,120,66,0.0
Al Fine,1,11075,1192,42.3
"AlPixel Games, Luis Diaz, Gustavo Santos, Albert Fernandez, Tice Thomason",1,2860,401,1.17
Alain Becam - TGB,1,5,0,0.0
Alakhaine Specialist Consulting Limited,1,8,10,0.0
Alan Edwardes,1,1949,308,42.1
"Alan Hazelden, Benjamin Davis",1,1003,47,1.65
Alan Zucconi,1,219,88,1.12
"Alasdair Beckett-King, Application Systems Heidelberg",2,445,34,0.0
Alaska,1,10,10,0.0
Alastair John Jack,1,2194,309,6.98
"Alastair John Jack, Lance Hill",1,80,11,0.0
Alawar,6,1289,210,4.865
Alawar Casual,11,1642,318,7.699090909090909
Alawar Dreamdale,1,142,49,3.47
Alawar Entertainment,7,1573,440,4.2299999999999995
"Alawar Entertainment, Amegami",1,137,38,4.75
Alawar Friday's Games,1,122,8,3.58
Alawar North,1,18,2,0.0
Alawar Southpoint,1,9,1,0.0
Alawar Stargaze,3,662,108,2.89
Alawar Stargaze (Warm Lamp Games),2,31697,3193,14.34
"Alawar Stargaze, Alawar Entertainment",2,219,26,6.215
"Alawar, Mirball Games",1,334,91,6.45
"Alawar, Whalebox Studio",1,33,14,0.0
Albatros Softworks,1,116,45,0.53
Albatross Idea,2,2,5,0.0
Albert Espín,1,5,0,0.0
Albert Wiatr,1,156,41,7.87
Albin Bernhardsson,1,55,9,0.03
Albino Moose Games,1,3270,135,6.85
Albireo Games,3,60,39,0.0
Alcachofa Soft,4,47,24,0.0
Alcateia Entertainment,1,14,8,0.0
Alchemist Interactive,1,701,236,13.42
Alda Games,5,13389,2504,5.014
Alder Games,3,187,39,2.486666666666667
Aldin Dynamics,1,618,66,2.2
Aldorlea,1,23,6,0.0
Aldorlea Games,19,1749,610,2.9763157894736842
AleCubicSoft,1,162,79,1.05
Alec Smith,1,821,50,0.62
"Alec Smith, Dane Winn",2,307,37,2.235
Alejandro Hernández Ferrero,1,1962,319,23.17
Alejandro Moreno,1,4,0,0.0
Alek1277,1,6,16,0.0
Aleksandar Kuzmanovic Games Inc.,1,651,153,3.25
Aleksandar Đuričić,1,10,1,0.0
Aleksander Ciesielski,1,3,3,0.0
"Aleksander Vargas, True Nightmare",1,34,5,0.0
